id,name,now_cost,position,team,transfers_in,expected_goals,red_cards,form_rank,transfers_out_event,ict_index,chance_of_playing_this_round,starts,creativity,expected_assists,ict_index_rank,cost_change_event,expected_goals_conceded_per_90,in_dreamteam,expected_goals_conceded,expected_goals_per_90,selected_by_percent,transfers_out,clean_sheets_per_90,cost_change_start_fall,ict_index_rank_type,dreamteam_count,transfers_in_event,own_goals,goals_conceded_per_90,corners_and_indirect_freekicks_order,goals_scored,influence_rank,cost_change_start,threat_rank,selected_rank_type,news_added,event_points,ep_this,status,value_season,expected_goal_involvements,starts_per_90,bonus,threat,points_per_game_rank,cost_change_event_fall,yellow_cards,web_name,direct_freekicks_order,saves,news,penalties_saved,creativity_rank_type,points_per_game,total_points,creativity_rank,bps,value_form,now_cost_rank,expected_goal_involvements_per_90,penalties_order,saves_per_90,now_cost_rank_type,goals_conceded,expected_assists_per_90,form,points_per_game_rank_type,ep_next,clean_sheets,assists,selected_rank,influence,influence_rank_type,threat_rank_type,minutes,penalties_missed,form_rank_type,chance_of_playing_next_round
112,Ethan Pinnock,45,DEF,Brentford,628745,1.83,0,84,479,92.1,100.0,26,62.2,0.82,161,0,1.35,False,35.04,0.07,1.4,698903,0.19,0,42,1,560,0,1.58,,2,63,0,164,70,2024-02-17T19:00:09.155597Z,6,3.2,a,16.7,2.65,1.0,5,215.0,174,0,1,Pinnock,,0,,0,120,2.8,75,352,458,0.7,389,0.1,,0.0,72,41,0.03,3.2,43,3.2,5,0,167,639.0,21,25,2341,0,28,100.0
114,Mads Roerslev Rasmussen,44,DEF,Brentford,115174,1.05,0,182,1791,73.1,100.0,21,266.0,1.27,214,0,1.66,False,34.69,0.05,0.5,63698,0.24,1,60,0,55,0,1.72,,1,197,-1,282,94,2023-11-27T21:30:09.209583Z,1,1.8,a,16.6,2.32,1.0,3,94.0,248,0,1,Roerslev,,0,,0,30,2.3,73,148,334,0.4,558,0.11,,0.0,107,36,0.06,1.8,76,1.8,5,2,237,366.2,71,85,1885,0,54,100.0
115,Kevin Schade,52,MID,Brentford,19067,1.29,0,135,9,26.0,100.0,3,56.7,0.70,373,0,0.84,False,2.75,0.39,0.1,26617,0.3,3,168,0,16,0,0.91,,2,385,-3,274,170,2023-09-23T22:00:07.161600Z,1,2.4,a,6.0,1.99,0.91,2,100.0,105,0,0,Schade,,0,,0,188,3.4,31,358,81,0.5,159,0.6,,0.0,97,3,0.21,2.4,49,2.4,1,2,513,105.6,163,147,296,0,63,100.0
116,Thomas Strakosha,39,GKP,Brentford,279478,0.00,0,422,592,4.3,100.0,1,0.0,0.01,480,0,1.12,False,1.68,0.0,1.3,202073,0.0,1,36,0,43,0,1.33,,0,451,-1,500,26,2023-08-26T21:00:07.515720Z,0,0.0,a,1.0,0.01,0.67,0,0.0,301,0,0,Strakosha,,6,,0,31,2.0,4,539,24,0.0,814,0.01,,4.0,77,2,0.01,0.0,35,0.0,0,0,175,42.8,36,18,135,0,40,100.0
117,Ivan Toney,78,FWD,Brentford,2329285,4.97,0,272,16945,92.1,100.0,14,195.4,1.48,162,0,1.68,False,23.72,0.35,4.6,1892798,0.21,2,29,0,1182,0,1.77,,4,266,-2,64,14,2024-04-25T17:00:09.259479Z,2,1.0,a,6.7,6.45,0.99,4,465.0,97,0,3,Toney,1.0,0,,0,29,3.5,52,193,152,0.1,16,0.45,1.0,0.0,6,25,0.1,1.0,20,1.0,3,2,84,264.6,31,26,1269,0,33,100.0
118,Ryan Trevitt,45,MID,Brentford,236,0.00,0,742,1,0.0,0.0,0,0.0,0.00,806,0,0.0,False,0.00,0.0,0.0,1961,0.0,0,334,0,0,0,0.0,,0,803,0,789,271,2023-08-14T03:58:13.701084Z,0,0.0,u,0.0,0.00,0.0,0,0.0,806,0,0,Trevitt,,0,Season long loan to Exeter,0,333,0.0,0,800,0,0.0,506,0.0,,0.0,304,0,0.0,0.0,335,0.0,0,0,699,0.0,333,330,0,0,295,0.0
119,Yoane Wissa,57,FWD,Brentford,2390189,9.96,0,36,11717,154.4,100.0,28,350.9,1.65,56,0,1.28,False,33.81,0.38,5.3,2505006,0.42,3,12,2,2095,0,1.32,,10,119,-3,29,12,2023-12-30T22:30:09.405168Z,1,4.6,a,19.5,11.61,1.06,11,713.0,93,0,6,Wissa,,0,,0,13,3.5,111,110,378,0.8,85,0.44,,0.0,25,35,0.06,4.6,18,4.6,11,2,74,493.4,13,14,2378,0,6,100.0
120,Yegor Yarmoliuk,42,MID,Brentford,78443,0.89,0,255,446,26.6,,6,66.2,1.00,369,0,1.27,False,9.30,0.12,0.6,103446,0.55,3,166,0,2287,0,1.1,,0,392,-3,255,70,,1,1.0,a,7.4,1.89,0.82,0,110.0,431,0,2,Yarmoliuk,,0,,0,186,1.2,31,343,88,0.2,678,0.26,,0.0,369,8,0.14,1.0,195,1.0,4,0,234,91.8,167,136,657,0,123,
121,Mathias Jorgensen,43,DEF,Brentford,46128,0.74,0,82,1310,36.0,,11,71.7,0.43,336,0,1.47,False,16.31,0.07,0.3,21591,0.18,2,120,0,159,0,1.81,,1,311,-2,287,115,,0,3.2,a,6.7,1.17,0.99,3,90.0,261,0,4,Zanka,,0,,0,110,2.2,29,331,160,0.7,606,0.11,,0.0,119,20,0.04,3.2,82,3.2,2,0,285,198.0,116,89,996,0,26,
258,Neal Maupay,49,FWD,Brentford,344800,6.89,0,317,910,112.6,100.0,14,241.9,1.98,113,0,1.65,False,25.65,0.44,0.9,376780,0.26,1,22,0,225,0,2.31,,6,223,-1,51,29,2024-04-20T16:30:09.542003Z,0,0.6,a,15.5,8.87,0.9,6,568.0,216,0,7,Maupay,,0,,0,22,2.5,76,161,250,0.1,228,0.57,,0.0,49,36,0.13,0.6,37,0.6,4,3,194,325.8,27,21,1401,0,38,100.0
508,Sergio Reguilón,45,DEF,Brentford,672716,0.94,1,12,3495,85.9,100.0,16,401.6,2.58,184,0,1.79,False,27.06,0.06,3.1,366608,0.33,0,51,3,10415,0,1.72,3.0,0,207,0,257,41,2024-03-09T23:30:08.509371Z,8,6.6,a,15.8,3.52,1.06,14,109.0,141,0,7,Reguilón,,0,,0,14,3.1,71,83,321,1.5,372,0.23,,0.0,61,26,0.17,6.6,29,6.6,5,6,105,347.8,76,73,1361,0,3,100.0
620,Michael Olakigbe,45,MID,Brentford,3360,0.14,0,701,3,3.5,0.0,0,4.1,0.02,487,0,1.24,False,0.70,0.25,0.0,3918,0.0,0,220,0,0,0,0.0,,0,510,0,398,245,2024-02-01T07:18:47.524133Z,0,0.0,u,1.8,0.16,0.0,0,27.0,494,0,0,Olakigbe,,0,Joins Peterborough United on loan until the end of the season,0,225,1.0,8,466,14,0.0,453,0.29,,0.0,271,0,0.04,0.0,225,0.0,0,0,648,4.8,226,199,51,0,268,0.0
684,Ethan Brierley,45,MID,Brentford,2333,0.00,0,694,11,0.0,,0,0.0,0.00,767,0,0.0,False,0.00,0.0,0.0,1940,0.0,0,307,0,8,0,0.0,,0,764,0,745,268,,0,0.0,a,0.0,0.00,0.0,0,0.0,771,0,0,Brierley,,0,,0,305,0.0,0,758,0,0.0,446,0.0,,0.0,264,0,0.0,0.0,311,0.0,0,0,691,0.0,306,300,0,0,261,
701,Saman Ghoddos,45,MID,Brentford,14299,0.30,0,644,18,34.4,100.0,7,162.9,1.04,342,0,1.53,False,11.95,0.04,0.0,12613,0.0,0,157,0,15,0,2.44,,1,362,0,355,217,2023-12-30T18:00:11.430719Z,0,0.0,a,5.6,1.34,0.9,0,45.0,415,0,5,Ghoddos,,0,,0,137,1.4,25,228,121,0.0,376,0.17,,0.0,228,19,0.13,0.0,183,0.0,0,0,605,134.2,154,184,701,0,229,100.0
725,Ji-Soo Kim,40,DEF,Brentford,5269,0.00,0,536,26,0.0,100.0,0,0.0,0.00,664,0,0.0,False,0.00,0.0,0.0,4101,0.0,0,255,0,42,0,0.0,,0,660,0,613,220,2024-01-03T01:00:13.330663Z,0,0.0,a,0.0,0.00,0.0,0,0.0,676,0,0,Kim Ji-Soo,,0,,0,253,0.0,0,647,0,0.0,788,0.0,,0.0,238,0,0.0,0.0,253,0.0,0,0,574,0.0,255,248,0,0,213,100.0
733,Valintino Adedokun,40,DEF,Brentford,4685,0.00,0,519,18,0.0,,0,0.0,0.00,647,0,0.0,False,0.00,0.0,0.0,3083,0.0,0,243,0,39,0,0.0,,0,643,0,596,215,,0,0.0,a,0.0,0.00,0.0,0,0.0,659,0,0,Adedokun,,0,,0,241,0.0,0,630,0,0.0,770,0.0,,0.0,225,0,0.0,0.0,241,0.0,0,0,565,0.0,243,236,0,0,201,
744,Myles Peart-Harris,45,MID,Brentford,201,0.00,0,668,0,1.5,0.0,0,10.9,0.00,512,0,0.57,False,0.07,0.0,0.0,207,0.0,0,232,0,0,0,0.0,,0,524,0,471,354,2024-01-24T08:00:31.356953Z,0,0.0,u,0.7,0.00,0.0,0,2.0,484,0,0,Peart-Harris,,0,On loan to Portsmouth until the end of the season,0,219,1.0,3,449,6,0.0,414,0.0,,0.0,240,0,0.0,0.0,218,0.0,0,0,835,2.2,236,229,11,0,240,0.0
752,Vincent Angelini,40,GKP,Brentford,1883,0.00,0,533,8,0.0,,0,0.0,0.00,661,0,0.0,False,0.00,0.0,0.0,1187,0.0,0,90,0,11,0,0.0,,0,657,0,610,81,,0,0.0,a,0.0,0.00,0.0,0,0.0,673,0,0,Angelini,,0,,0,74,0.0,0,644,0,0.0,785,0.0,,0.0,64,0,0.0,0.0,90,0.0,0,0,664,0.0,90,62,0,0,83,
789,Hákon Valdimarsson,40,GKP,Brentford,759,0.00,0,512,8,0.0,,0,0.0,0.00,640,0,0.0,False,0.00,0.0,0.0,460,0.0,0,86,0,6,0,0.0,,0,636,0,589,87,,0,0.0,a,0.0,0.00,0.0,0,0.0,652,0,0,Valdimarsson,,0,,0,70,0.0,0,623,0,0.0,762,0.0,,0.0,60,0,0.0,0.0,86,0.0,0,0,737,0.0,86,58,0,0,79,
797,Benjamin Fredrick,40,DEF,Brentford,1331,0.00,0,540,8,0.0,,0,0.0,0.00,669,0,0.0,False,0.00,0.0,0.0,820,0.0,0,260,0,19,0,0.0,,0,665,0,619,239,,0,0.0,a,0.0,0.00,0.0,0,0.0,680,0,0,Fredrick,,0,,0,259,0.0,0,653,0,0.0,794,0.0,,0.0,244,0,0.0,0.0,257,0.0,0,0,663,0.0,260,254,0,0,217,
834,Benjamin Arthur,40,DEF,Brentford,1220,0.00,0,543,17,0.0,,0,0.0,0.00,672,0,0.0,False,0.00,0.0,0.0,500,0.0,0,263,0,59,0,0.0,,0,668,0,622,245,,0,0.0,a,0.0,0.00,0.0,0,0.0,683,0,0,Arthur,,0,,0,262,0.0,0,656,0,0.0,797,0.0,,0.0,247,0,0.0,0.0,260,0.0,0,0,690,0.0,263,257,0,0,220,
122,Simon Adingra,50,MID,Brighton,401713,3.83,0,190,530,144.1,100.0,22,396.6,2.59,76,0,1.46,False,31.96,0.18,0.5,387061,0.18,0,53,2,746,0,1.56,,6,161,0,42,71,2023-12-30T23:00:12.285175Z,2,1.3,a,18.2,6.42,1.01,8,625.0,132,0,3,Adingra,,0,,0,64,3.2,91,84,303,0.4,215,0.3,,0.0,133,34,0.12,1.8,60,3.6,4,1,239,421.6,71,24,1964,0,91,100.0
123,Steven Alzate,44,MID,Brighton,2752,0.00,0,607,4,0.0,0.0,0,0.0,0.00,701,0,0.0,False,0.00,0.0,0.0,13575,0.0,1,262,0,0,0,0.0,,0,699,-1,665,186,2023-09-08T08:19:00.187945Z,0,0.0,u,0.0,0.00,0.0,0,0.0,714,0,0,Alzate,,0,Season long loan to Standard Liège,0,263,0.0,0,692,0,0.0,563,0.0,,0.0,324,0,0.0,0.0,271,0.0,0,0,544,0.0,261,250,0,0,206,0.0
124,Yasin Ayari,45,MID,Brighton,483,0.00,0,704,3,0.0,0.0,0,0.0,0.00,773,0,0.0,False,0.00,0.0,0.0,5107,0.0,0,313,0,0,0,0.0,,0,770,0,752,254,2023-08-23T08:37:48.427770Z,0,0.0,u,0.0,0.00,0.0,0,0.0,777,0,0,Ayari,,0,Season-long loan to Coventry City,0,312,0.0,0,765,0,0.0,457,0.0,,0.0,275,0,0.0,0.0,317,0.0,0,0,665,0.0,312,307,0,0,271,0.0
125,Facundo Buonanotte,47,MID,Brighton,17882,2.26,0,219,33,74.2,100.0,15,267.6,1.14,210,0,1.31,False,17.76,0.17,0.1,19278,0.44,3,106,0,58,0,1.18,,3,285,-3,149,166,2023-12-29T00:00:09.617892Z,3,0.9,a,11.3,3.40,1.11,1,233.0,291,0,7,Buonanotte,,0,,0,98,2.1,53,146,149,0.3,328,0.25,,0.0,213,16,0.08,1.4,119,2.8,6,1,500,240.6,117,95,1221,0,104,100.0
127,Aaron Connolly,45,FWD,Brighton,0,0.00,0,653,2,0.0,0.0,0,0.0,0.00,732,0,0.0,False,0.00,0.0,0.0,3967,0.0,0,79,0,0,0,0.0,,0,729,0,706,91,2023-08-04T09:39:43.029546Z,0,0.0,u,0.0,0.00,0.0,0,0.0,740,0,0,Connolly,,0,Permanent move to Hull City,0,78,0.0,0,725,0,0.0,392,0.0,,0.0,68,0,0.0,0.0,82,0.0,0,0,657,0.0,77,77,0,0,65,0.0
128,Mahmoud Dahoud,48,MID,Brighton,8538,0.22,1,774,4,21.7,0.0,6,127.2,0.54,397,0,1.03,False,5.16,0.04,0.1,19626,0.2,2,180,0,0,0,1.2,,0,424,-2,406,164,2024-02-02T15:28:49.454185Z,0,0.0,u,2.9,0.76,1.2,0,24.0,391,0,1,Dahoud,,0,Joined Stuttgart on loan for the rest of the season,0,150,1.6,14,259,68,0.0,282,0.15,,0.0,183,6,0.11,0.0,170,0.0,1,1,494,70.4,181,203,449,0,317,0.0
129,Lewis Dunk,52,DEF,Brighton,984151,3.12,1,156,3236,137.1,100.0,31,204.1,2.24,83,0,1.53,False,46.49,0.1,5.6,872201,0.16,-2,10,2,12179,0,1.68,,3,33,2,93,23,2023-12-28T22:00:09.818659Z,6,1.7,a,16.5,5.35,1.02,10,381.0,181,0,5,Dunk,2.0,0,,0,41,2.8,86,185,544,0.4,144,0.17,,0.0,16,51,0.07,2.2,46,4.4,5,1,65,786.2,6,2,2734,0,46,100.0
130,Julio Enciso,50,MID,Brighton,49784,1.02,0,286,30,23.0,100.0,3,66.4,0.87,394,0,1.71,False,5.40,0.32,0.4,389530,0.0,5,177,0,83,0,2.21,,0,438,-5,259,76,2024-04-12T16:30:09.477453Z,1,0.3,a,3.2,1.89,0.95,0,108.0,359,0,1,Enciso,,0,,0,185,1.8,16,342,51,0.2,208,0.59,,0.0,129,7,0.27,0.8,157,1.6,0,2,253,56.0,188,138,285,0,142,100.0
131,Pervis Estupiñán,48,DEF,Brighton,3943066,1.00,0,341,20275,89.0,0.0,15,382.6,2.22,172,0,1.92,False,26.50,0.07,15.5,7485113,0.22,2,46,1,59,1,1.88,3.0,2,205,-2,205,7,2024-04-13T23:00:08.742676Z,0,0.0,i,11.9,3.22,1.09,7,156.0,157,0,4,Estupiñan,,0,Ankle injury - Expected back 01 Jun,0,15,3.0,57,94,291,0.1,289,0.23,,0.0,33,26,0.16,0.4,36,0.0,3,3,24,350.8,74,48,1242,0,116,0.0
132,Evan Ferguson,57,FWD,Brighton,1377852,4.49,0,842,1554,77.3,0.0,15,106.7,0.77,205,0,1.47,False,22.16,0.3,3.6,1707615,0.13,3,32,1,22,0,1.86,,6,261,-3,88,16,2024-04-05T16:00:09.026826Z,0,0.0,i,12.1,5.26,1.0,5,393.0,207,0,1,Ferguson,,0,Ankle injury - Expected back 01 Jun,0,41,2.6,69,292,218,0.0,88,0.35,,0.0,27,28,0.05,0.0,36,0.0,2,1,94,275.0,30,33,1356,0,107,0.0
133,Billy Gilmour,48,MID,Brighton,89477,0.92,1,284,27,82.9,100.0,22,455.8,2.45,190,0,1.49,False,32.23,0.04,0.2,86675,0.28,2,96,1,86,0,1.52,,0,263,-2,272,102,2024-03-30T16:00:08.486865Z,3,0.3,a,12.1,3.37,1.01,4,102.0,294,0,6,Gilmour,,0,,0,53,2.1,58,69,329,0.2,293,0.15,,0.0,189,33,0.11,0.8,120,1.6,6,3,327,270.4,109,145,1952,0,140,100.0
134,Pascal Groß,61,MID,Brighton,1776780,5.93,0,159,4526,281.5,100.0,31,1492.3,7.93,8,0,1.46,False,46.21,0.19,4.1,1775954,0.22,4,6,1,5652,0,1.43,1.0,4,13,-4,89,27,2023-09-22T14:00:07.601244Z,2,1.7,a,24.1,13.86,0.98,29,393.0,30,0,6,Gross,1.0,0,,0,2,4.5,147,2,680,0.4,60,0.44,2.0,0.0,36,45,0.25,2.2,22,4.4,7,11,92,929.0,8,56,2842,0,77,100.0
135,João Pedro Junqueira de Jesus,52,FWD,Brighton,2148271,11.19,0,157,1977,181.9,100.0,17,487.4,3.64,38,0,1.45,False,29.95,0.54,5.8,3930904,0.24,3,9,2,7951,0,1.65,,9,99,-3,23,10,2024-02-09T17:00:08.329252Z,4,1.7,a,18.5,14.83,0.82,11,801.0,121,0,2,João Pedro,,0,,0,3,3.3,96,62,377,0.4,158,0.72,1.0,0.0,38,34,0.18,2.2,22,4.4,5,2,63,530.2,11,12,1857,1,21,100.0
136,Michał Karbownik,40,DEF,Brighton,0,0.00,0,485,1,0.0,0.0,0,0.0,0.00,612,0,0.0,False,0.00,0.0,0.0,2428,0.0,0,221,0,0,0,0.0,,0,608,0,560,247,2023-08-09T08:35:32.699094Z,0,0.0,u,0.0,0.00,0.0,0,0.0,625,0,0,Karbownik,,0,Permanent transfer to Hertha BSC,0,219,0.0,0,595,0,0.0,729,0.0,,0.0,197,0,0.0,0.0,220,0.0,0,0,693,0.0,221,213,0,0,180,0.0
137,Kacper Kozłowski,45,MID,Brighton,0,0.00,0,685,0,0.0,0.0,0,0.0,0.00,757,0,0.0,False,0.00,0.0,0.0,137,0.0,0,300,0,0,0,0.0,,0,754,0,734,359,2023-07-20T08:40:22.941077Z,0,0.0,u,0.0,0.00,0.0,0,0.0,762,0,0,Kozłowski,,0,Joined vitesse on a season long loan,0,298,0.0,0,749,0,0.0,434,0.0,,0.0,255,0,0.0,0.0,304,0.0,0,0,841,0.0,299,292,0,0,254,0.0
138,Adam Lallana,49,MID,Brighton,5962,0.52,0,342,43,42.3,0.0,12,235.7,1.55,314,0,1.36,False,11.84,0.06,0.0,10000,0.23,1,148,0,1,0,1.49,,0,410,-1,256,180,2024-05-03T13:30:09.715868Z,0,0.0,i,5.9,2.07,1.38,0,110.0,439,0,2,Lallana,,0,Knock - Unknown return date,0,108,1.2,29,166,94,0.1,219,0.24,,0.0,137,13,0.18,0.4,199,0.0,2,1,532,80.6,174,137,783,0,159,0.0
139,Tariq Lamptey,39,DEF,Brighton,911226,0.34,0,367,4864,27.6,0.0,9,110.8,0.58,366,0,1.31,False,11.13,0.04,3.7,1239225,0.12,1,130,0,69,0,1.88,,0,374,-1,333,34,2024-04-12T16:30:09.514529Z,0,0.0,i,7.2,0.92,1.06,0,56.0,348,0,3,Lamptey,,0,Knock - Unknown return date,0,86,1.8,28,281,128,0.1,825,0.11,,0.0,257,16,0.07,0.2,119,0.0,1,3,93,111.8,144,108,765,0,125,0.0
140,Solly March,61,MID,Brighton,1022190,2.10,0,849,190,46.4,0.0,7,126.5,0.97,292,0,1.7,False,10.50,0.34,2.0,1251473,0.32,4,140,1,13,0,1.78,2.0,3,312,-4,226,37,2023-10-21T17:30:07.514105Z,0,0.0,i,6.4,3.07,1.14,6,139.0,11,0,1,March,,0,Knee injury - Expected back 01 Jun,0,151,5.6,39,260,134,0.0,61,0.5,,0.0,37,11,0.16,0.0,7,0.0,2,1,140,197.4,131,123,555,0,368,0.0
141,Tom McGill,39,GKP,Brighton,21506,0.00,0,428,57,0.0,,0,0.0,0.00,562,0,0.0,False,0.00,0.0,0.2,24708,0.0,1,53,0,34,0,0.0,,0,558,-1,505,43,,0,-0.5,a,0.0,0.00,0.0,0,0.0,574,0,0,McGill,,0,,0,36,0.0,0,544,0,0.0,821,0.0,,0.0,82,0,0.0,0.0,53,0.0,0,0,321,0.0,53,23,0,0,45,
142,James Milner,48,MID,Brighton,9132,0.29,0,767,14,46.8,0.0,11,253.5,2.18,288,0,1.5,False,12.81,0.03,0.1,24873,0.47,2,138,0,3,0,1.4,4.0,0,346,-2,318,126,2024-01-31T02:00:10.142491Z,0,0.0,i,5.8,2.47,1.29,0,61.0,338,0,3,Milner,,0,Muscle injury - Unknown return date,0,102,1.9,28,152,146,0.0,263,0.28,,0.0,169,12,0.25,0.0,144,0.0,4,2,415,152.8,148,160,770,0,311,0.0
143,Kaoru Mitoma,64,MID,Brighton,2988782,3.49,0,851,2102,134.0,0.0,15,375.1,3.56,90,0,1.49,False,24.64,0.21,12.0,5576939,0.06,1,61,2,28,0,1.64,,3,221,-1,39,11,2024-02-23T15:30:08.811169Z,0,0.0,i,11.6,7.05,0.91,7,636.0,55,0,4,Mitoma,,0,Back injury - Expected back 01 Jun,0,72,3.9,74,96,252,0.0,49,0.43,,0.0,28,27,0.22,0.0,31,0.0,1,7,31,327.6,89,22,1485,0,369,0.0
144,Jakub Moder,44,MID,Brighton,8598,0.70,0,239,27,19.7,100.0,5,67.8,0.21,407,0,2.01,False,11.06,0.13,0.1,11967,0.18,1,184,0,43,0,2.0,,0,430,-1,313,161,2023-10-20T15:30:08.340971Z,1,0.7,a,4.1,0.91,0.91,0,64.0,435,0,2,Moder,,0,,0,183,1.2,18,339,71,0.3,566,0.17,,0.0,326,11,0.04,1.2,196,2.4,1,0,484,64.8,183,158,495,0,114,100.0
146,Jeremy Sarmiento Morante,45,MID,Brighton,0,0.00,0,665,1,0.0,0.0,0,0.0,0.00,742,0,0.0,False,0.00,0.0,0.0,1599,0.0,0,288,0,0,0,0.0,,0,739,0,717,286,2023-07-26T11:28:45.117167Z,0,0.0,u,0.0,0.00,0.0,0,0.0,749,0,0,Sarmiento,,0,Joined West Bromwich Albion on a season-long loan,0,287,0.0,0,735,0,0.0,411,0.0,,0.0,237,0,0.0,0.0,293,0.0,0,0,731,0.0,287,278,0,0,237,0.0
147,Kjell Scherpen,40,GKP,Brighton,0,0.00,0,475,0,0.0,0.0,0,0.0,0.00,604,0,0.0,False,0.00,0.0,0.0,36,0.0,0,72,0,0,0,0.0,,0,600,0,552,97,2023-07-06T16:30:02.985300Z,0,0.0,u,0.0,0.00,0.0,0,0.0,617,0,0,Scherpen,,0,Joined Sturm Graz on a season-long loan,0,56,0.0,0,587,0,0.0,716,0.0,,0.0,46,0,0.0,0.0,72,0.0,0,0,848,0.0,72,44,0,0,65,0.0
148,Jason Steele,40,GKP,Brighton,226222,0.00,0,449,1156,36.6,,16,0.1,0.00,333,-1,1.48,False,23.66,0.0,1.8,586453,0.12,5,22,1,719,0,2.0,,0,196,-5,525,21,,0,-0.5,a,10.2,0.00,1.0,5,0.0,191,1,0,Steele,,41,,0,13,2.6,41,511,288,0.0,686,0.0,,2.56,36,32,0.0,0.0,26,0.0,2,0,153,366.2,22,34,1440,0,56,
149,Deniz Undav,55,FWD,Brighton,0,0.00,0,839,0,0.0,0.0,0,0.0,0.00,850,0,0.0,False,0.00,0.0,0.0,4505,0.0,0,109,0,0,0,0.0,,0,850,0,849,92,2023-08-04T09:40:56.708875Z,0,0.0,u,0.0,0.00,0.0,0,0.0,850,0,0,Undav,,0,Season long loan to Stuttgart,0,109,0.0,0,850,0,0.0,107,0.0,,0.0,32,0,0.0,0.0,109,0.0,0,0,682,0.0,109,109,0,0,106,0.0
150,Jan Paul van Hecke,41,DEF,Brighton,741080,1.42,0,304,20339,98.5,0.0,26,176.4,0.93,146,0,1.41,False,37.22,0.05,3.4,523943,0.19,-1,32,0,102,0,1.44,,0,64,1,188,39,2024-04-28T22:00:08.967357Z,0,0.0,i,14.9,2.35,0.99,3,175.0,260,0,4,Van Hecke,,0,Hamstring injury - Unknown return date,0,50,2.2,61,210,454,0.1,683,0.09,,0.0,165,38,0.04,0.6,81,0.0,5,0,101,631.8,22,37,2368,0,94,0.0
151,Joël Veltman,43,DEF,Brighton,111065,0.35,0,217,155,43.5,100.0,16,96.2,0.53,307,0,1.46,False,24.92,0.02,0.5,176368,0.18,2,105,0,1336,0,1.87,,0,259,-2,317,99,2024-02-28T00:00:09.916519Z,6,0.9,a,9.8,0.88,0.94,0,61.0,384,0,4,Veltman,,0,,0,97,1.6,42,307,279,0.3,619,0.05,,0.0,128,32,0.03,1.4,133,2.8,3,1,246,276.8,98,104,1540,0,65,100.0
152,Bart Verbruggen,44,GKP,Brighton,142014,0.00,0,129,638,45.1,,19,0.0,0.00,301,0,1.47,False,27.85,0.0,0.9,97878,0.21,1,19,0,2253,0,1.32,,0,146,-1,679,28,,6,1.9,a,14.1,0.00,1.0,6,0.0,113,0,2,Verbruggen,,54,,0,87,3.3,62,704,379,0.5,586,0.0,,2.84,27,25,0.0,2.4,17,4.8,4,0,193,450.8,17,78,1710,0,12,
153,Adam Webster,42,DEF,Brighton,21468,0.37,0,214,31,27.8,100.0,10,73.3,0.26,364,0,1.36,False,13.21,0.04,0.2,39617,0.21,3,129,0,461,1,1.75,,0,334,-3,382,150,2024-04-05T16:00:09.080306Z,6,0.9,a,4.8,0.63,1.03,0,32.0,367,0,2,Webster,,0,,0,109,1.7,20,330,175,0.3,664,0.07,,0.0,154,17,0.03,1.4,128,2.8,2,0,374,170.8,127,133,872,0,64,100.0
154,Danny Welbeck,57,FWD,Brighton,232630,4.07,0,193,748,94.4,100.0,19,271.9,1.37,156,0,1.47,False,24.27,0.25,0.9,385286,0.48,3,28,0,1256,0,1.51,,4,270,-3,80,31,2023-10-21T17:30:07.549301Z,2,1.3,a,11.9,5.44,1.15,5,408.0,206,0,3,Welbeck,3.0,0,,0,20,2.6,68,142,221,0.3,81,0.33,3.0,0.0,23,25,0.08,1.8,35,3.6,8,3,200,263.0,33,31,1487,0,27,100.0
155,Andi Zeqiri,44,FWD,Brighton,25876,0.00,0,602,58,0.0,0.0,0,0.0,0.00,696,0,0.0,False,0.00,0.0,0.4,106776,0.0,1,71,0,0,0,0.0,,0,694,-1,660,42,2023-09-06T09:25:40.755182Z,0,0.0,u,0.0,0.00,0.0,0,0.0,709,0,0,Zeqiri,,0,Permanent transfer to Genk,0,71,0.0,0,687,0,0.0,545,0.0,,0.0,104,0,0.0,0.0,76,0.0,0,0,262,0.0,70,69,0,0,57,0.0
606,Igor Julio dos Santos de Paulo,43,DEF,Brighton,22641,0.25,0,165,64,36.4,100.0,14,111.8,0.43,334,0,1.28,False,19.41,0.02,0.1,27031,0.13,2,118,0,528,0,1.39,,0,294,-2,410,160,2023-12-29T00:00:11.103432Z,6,1.5,a,7.7,0.68,0.93,1,21.0,386,0,4,Igor,,0,,0,84,1.6,33,277,257,0.5,639,0.05,,0.0,141,21,0.03,2.0,134,4.0,2,0,395,229.6,108,147,1361,0,48,100.0
621,Jack Hinshelwood,45,MID,Brighton,28491,2.10,0,726,42,55.0,0.0,8,118.9,0.36,261,0,1.49,False,14.30,0.22,0.0,26981,0.21,0,129,0,8,0,1.77,,3,310,0,152,191,2024-02-10T10:00:09.863138Z,0,0.0,i,9.3,2.46,0.83,5,230.0,85,0,1,Hinshelwood,,0,Foot injury - Expected back 01 Jun,0,154,3.5,42,268,155,0.0,482,0.26,,0.0,293,17,0.04,0.0,43,0.0,2,0,549,200.2,130,97,866,0,287,0.0
