id,name,now_cost,position,team,transfers_in,expected_goals,red_cards,form_rank,transfers_out_event,ict_index,chance_of_playing_this_round,starts,creativity,expected_assists,ict_index_rank,cost_change_event,expected_goals_conceded_per_90,in_dreamteam,expected_goals_conceded,expected_goals_per_90,selected_by_percent,transfers_out,clean_sheets_per_90,cost_change_start_fall,ict_index_rank_type,dreamteam_count,transfers_in_event,own_goals,goals_conceded_per_90,corners_and_indirect_freekicks_order,goals_scored,influence_rank,cost_change_start,threat_rank,selected_rank_type,news_added,event_points,ep_this,status,value_season,expected_goal_involvements,starts_per_90,bonus,threat,points_per_game_rank,cost_change_event_fall,yellow_cards,web_name,direct_freekicks_order,saves,news,penalties_saved,creativity_rank_type,points_per_game,total_points,creativity_rank,bps,value_form,now_cost_rank,expected_goal_involvements_per_90,penalties_order,saves_per_90,now_cost_rank_type,goals_conceded,expected_assists_per_90,form,points_per_game_rank_type,ep_next,clean_sheets,assists,selected_rank,influence,influence_rank_type,threat_rank_type,minutes,penalties_missed,form_rank_type,chance_of_playing_next_round
584,Pau Torres,46,DEF,Aston Villa,1046987,0.95,0,131,2833,73.0,100.0,26,148.9,0.70,215,0,1.45,False,38.27,0.04,3.0,1004083,0.23,-1,61,1,1129,0,1.29,,2,145,1,236,44,2024-02-24T23:30:09.599382Z,2,2.9,a,18.3,1.65,0.99,4,128.0,155,0,1,Pau,,0,,0,64,3.0,84,238,447,0.5,344,0.07,,0.0,45,34,0.03,2.4,35,2.4,6,0,109,452.2,50,63,2372,0,40,100.0
599,Moussa Diaby,63,MID,Aston Villa,2479187,6.14,0,76,3498,161.2,100.0,23,558.2,3.80,51,0,1.42,False,31.54,0.28,5.9,2611740,0.36,2,37,3,833,0,1.45,,6,137,-2,49,18,2023-09-30T23:00:09.545623Z,3,3.9,a,21.4,9.94,1.04,10,583.0,64,0,1,Diaby,,0,,0,46,3.8,135,53,406,0.5,55,0.45,,0.0,31,32,0.17,3.4,37,3.4,8,10,59,473.2,59,29,1992,0,35,100.0
618,Omari Kellyman,45,MID,Aston Villa,7819,0.04,0,734,9,0.3,,0,0.3,0.00,533,0,4.85,False,0.70,0.28,0.0,8740,0.0,0,239,0,13,0,0.0,,0,538,0,476,175,,0,0.5,a,0.2,0.04,0.0,0,2.0,502,0,0,Kellyman,,0,,0,245,1.0,1,509,3,0.0,491,0.28,,0.0,298,0,0.0,0.0,230,0.0,0,0,521,0.4,244,233,13,0,291,
670,Filip Marschall,40,GKP,Aston Villa,3154,0.00,0,493,7,0.0,0.0,0,0.0,0.00,620,0,0.0,False,0.00,0.0,0.0,3014,0.0,0,78,0,0,0,0.0,,0,616,0,568,79,2024-01-22T11:44:07.815159Z,0,0.0,u,0.0,0.00,0.0,0,0.0,633,0,0,Marschall,,0,Joined Milton Keynes Dons on a season-long loan,0,62,0.0,0,603,0,0.0,738,0.0,,0.0,52,0,0.0,0.0,78,0.0,0,0,616,0.0,78,50,0,0,71,0.0
672,Nicolò Zaniolo,54,MID,Aston Villa,14489,2.36,0,289,24,58.5,100.0,9,109.5,0.66,254,0,1.55,False,13.92,0.26,0.1,13954,0.22,1,124,0,15,0,1.44,,2,356,-1,108,172,2024-04-25T18:30:09.924698Z,0,1.3,a,6.1,3.02,1.0,0,338.0,420,0,7,Zaniolo,,0,,0,159,1.4,33,284,32,0.1,120,0.33,,0.0,72,13,0.07,0.8,186,0.8,2,0,517,142.2,153,70,810,0,144,100.0
686,Oliwier Zych,40,GKP,Aston Villa,6697,0.00,0,518,4,0.0,0.0,0,0.0,0.00,646,0,0.0,False,0.00,0.0,0.0,6238,0.0,0,87,0,0,0,0.0,,0,642,0,595,73,2023-09-11T14:12:20.141802Z,0,0.0,u,0.0,0.00,0.0,0,0.0,658,0,0,Zych,,0,On loan to Puszcza Niepolomice,0,71,0.0,0,629,0,0.0,769,0.0,,0.0,61,0,0.0,0.0,87,0.0,0,0,537,0.0,87,59,0,0,80,0.0
699,Clément Lenglet,45,DEF,Aston Villa,47446,0.81,0,639,232,38.4,100.0,13,40.7,0.51,328,0,1.78,False,20.97,0.07,0.2,35161,0.17,0,116,0,79,0,1.86,,0,283,0,267,138,2024-04-10T14:30:09.968083Z,0,0.5,a,5.6,1.32,1.1,0,103.0,332,0,2,Lenglet,,0,,0,135,1.9,25,383,197,0.0,364,0.11,,0.0,58,22,0.04,0.0,115,0.0,2,1,336,241.2,105,78,1063,0,259,100.0
765,Sam Proctor,40,GKP,Aston Villa,1388,0.00,0,534,17,0.0,,0,0.0,0.00,662,0,0.0,False,0.00,0.0,0.0,832,0.0,0,91,0,20,0,0.0,,0,658,0,611,83,,0,0.5,a,0.0,0.00,0.0,0,0.0,674,0,0,Proctor,,0,,0,75,0.0,0,645,0,0.0,786,0.0,,0.0,65,0,0.0,0.0,91,0.0,0,0,681,0.0,91,63,0,0,84,
767,Tommi O'Reilly,45,MID,Aston Villa,308,0.00,0,713,1,0.0,0.0,0,0.0,0.00,781,0,0.0,False,0.00,0.0,0.0,283,0.0,0,319,0,0,0,0.0,,0,778,0,761,350,2024-02-17T19:39:26.883553Z,0,0.0,u,0.0,0.00,0.0,0,0.0,784,0,0,O'Reilly,,0,On loan to Real Unión until the end of the season,0,318,0.0,0,774,0,0.0,467,0.0,,0.0,282,0,0.0,0.0,322,0.0,0,0,830,0.0,318,313,0,0,277,0.0
778,James Wright,40,GKP,Aston Villa,953,0.00,0,500,18,0.0,,0,0.0,0.00,628,0,0.0,False,0.00,0.0,0.0,534,0.0,0,83,0,31,0,0.0,,0,624,0,577,84,,0,0.5,a,0.0,0.00,0.0,0,0.0,640,0,0,Wright,,0,,0,67,0.0,0,611,0,0.0,749,0.0,,0.0,57,0,0.0,0.0,83,0.0,0,0,705,0.0,83,55,0,0,76,
793,Kaine Kesler-Hayden,40,DEF,Aston Villa,2038,0.00,0,371,20,0.0,,0,0.0,0.00,623,0,4.95,False,0.11,0.0,0.0,1072,0.0,0,227,0,73,0,0.0,,0,619,0,572,234,,0,0.7,a,0.5,0.00,0.0,0,0.0,460,0,0,Kesler-Hayden,,0,,0,225,1.0,2,606,6,0.0,742,0.0,,0.0,205,0,0.0,0.2,160,0.2,0,0,639,0.0,227,220,2,0,129,
803,Morgan Rogers,50,MID,Aston Villa,6410,1.35,0,35,234,43.0,,8,108.1,0.33,308,0,2.06,False,14.55,0.19,0.0,1909,0.28,0,145,0,336,0,1.84,,3,330,0,216,176,,1,5.1,a,7.0,1.68,1.13,0,148.0,131,0,3,Rogers,,0,,0,161,3.2,35,288,114,0.9,201,0.24,,0.0,122,13,0.05,4.6,59,4.6,2,1,525,175.4,139,119,636,0,17,
818,Joe Gauci,39,GKP,Aston Villa,581,0.00,0,439,7,0.0,,0,0.0,0.00,571,0,0.0,False,0.00,0.0,0.0,292,0.0,1,59,0,9,0,0.0,,0,567,-1,514,92,,0,0.5,a,0.0,0.00,0.0,0,0.0,583,0,0,Gauci,,0,,0,42,0.0,0,553,0,0.0,835,0.0,,0.0,88,0,0.0,0.0,59,0.0,0,0,778,0.0,59,29,0,0,51,
